name,type
Royco,Supermarket_chain
Freia,Supermarket_chain
Brueggers,Fastfood
Caffetrieste,Fastfood
Imospizza,Fastfood
Jackinthebox,Fastfood
Pizzaranch,Fastfood
Chingssecret,Supermarket_chain
Royalcrowncola,Supermarket_chain
Icemountain,Supermarket_chain
Cookiecrisp,Fastfood
Zoladkowagorzka,Supermarket_chain
Ballastpoint,Fastfood
Halfacre,Supermarket_chain
Coors,Supermarket_chain
Burgerville,Fastfood
Coldstonecreamery,Fastfood
Bakers,Fastfood
Applebees,Fastfood
Corona,Supermarket_chain
Maestrodobel,Supermarket_chain
Ciaobellagelatocompany,Fastfood
Foxspizzaden,Fastfood
Royrogersrestaurants,Fastfood
Ricebubbles,Fastfood
Maggiemoosicecreamandtreatery,Fastfood
Claussen,Supermarket_chain
Marshmallow,Supermarket_chain
Aokispizza,Fastfood
Jitteryjoes,Fastfood
Rowntree,Supermarket_chain
Blueriband,Supermarket_chain
Michelspatisserie,Fastfood
Vico,Supermarket_chain
Ciniminis,Fastfood
Giordanospizzeria,Fastfood
Smokinjoes,Fastfood
Scottishblend,Supermarket_chain
Campbells,Supermarket_chain
Laurasecordchocolates,Supermarket_chain
